codigo,producto,marca,precio,cantidad,codigo_barra,veces_modificado
1234,Iphone X,Apple,480000,4,722311099132,3
2581,Iphone 11,Apple,500000,4,482329010848,1
3698,Iphone 12,Apple,650000,13,261349461444,0
2582,Iphone 13,Apple,850000,6,951386785234,0
2585,Iphone 14,Apple,1050000,4,212280438004,0
2586,Iphone 15,Apple,1350000,7,999230497488,0
2698,Impresora,Hp,690000,8,579193957134,0
2982,Impresora,Samsung,685000,12,967451046041,0
2415,Mouse,Marvo,15000,24,802651225026,0
2569,Mouse,Logitech,24000,1,854174916747,1
2541,Teclado,Marvo,21000,13,707373544305,0
1253,Mouse,Motorola,12000,12,198652496265,0
